seq_id,replicate,library,species,nursery,country,latitude,longitude,date,day,month,year,sex,pcl_mm,fl_mm,tl_mm,stl_mm,stage,from
SC_004-12,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2012-08-31,31,8,2012,M,NA,475,635,NA,YOY,Frazier
SC_005-12,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2012-08-31,31,8,2012,F,NA,445,592,NA,YOY,Frazier
SC_016-12,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2012-08-31,31,8,2012,M,NA,503,671,NA,YOY,Frazier
SC_028-12,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2012-09-28,28,9,2012,F,NA,525,698,NA,YOY,Frazier
SC_031-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-05-28,28,5,2013,F,NA,282,380,NA,YOY,Frazier
SC_034-13,NA,SLH01,Scalloped,BB,USA,33.02478,-79.50423,2013-06-10,10,6,2013,UND,NA,351,471,NA,YOY,Frazier
SC_036-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,350,464,NA,YOY,Frazier
SC_037-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,365,481,NA,YOY,Frazier
SC_038-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,400,528,NA,YOY,Frazier
SC_040-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,402,536,NA,YOY,Frazier
SC_041-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,354,472,NA,YOY,Frazier
SC_042-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,391,517,NA,YOY,Frazier
SC_046-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,341,459,NA,YOY,Frazier
SC_047-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,F,NA,360,486,NA,YOY,Frazier
SC_048-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,M,NA,387,515,NA,YOY,Frazier
SC_049-13,NA,SLH01,Scalloped,BB,USA,33.0095,-79.48533,2013-06-17,17,6,2013,M,NA,372,498,NA,YOY,Frazier
SC_054-13,NA,SLH03,Scalloped,BB,USA,33.0095,-79.48533,2013-06-24,24,6,2013,F,NA,402,559,NA,YOY,Frazier
SC_056-13,NA,SLH03,Scalloped,BB,USA,33.0095,-79.48533,2013-07-09,9,7,2013,M,NA,432,577,NA,YOY,Frazier
SC_058-13,NA,SLH03,Scalloped,BB,USA,33.0095,-79.48533,2013-07-09,9,7,2013,M,NA,430,572,NA,YOY,Frazier
SC_061-13,NA,SLH03,Scalloped,BB,USA,33.0095,-79.48533,2013-07-09,9,7,2013,F,NA,393,519,NA,YOY,Frazier
SC_133-14,NA,SLH10,Scalloped,BB,USA,33.00949,-79.48533,2014-05-29,29,5,2014,M,NA,359,480,NA,YOY,Frazier
SC_135-14,NA,SLH10,Scalloped,BB,USA,33.00949,-79.48533,2014-05-29,29,5,2014,M,NA,375,501,NA,YOY,Frazier
SC_136-14,NA,SLH10,Scalloped,BB,USA,33.00949,-79.48533,2014-05-29,29,5,2014,F,NA,335,444,NA,YOY,Frazier
SC_139-14,NA,SLH10,Scalloped,BB,USA,33.00949,-79.48533,2014-06-24,24,6,2014,M,NA,318,425,NA,YOY,Frazier
SC_142-14,NA,SLH10,Scalloped,BB,USA,33.0351,-79.54564,2014-07-08,8,7,2014,M,NA,388,515,NA,YOY,Frazier
SC_147-14,NA,SLH10,Scalloped,BB,USA,33.00949,-79.48533,2014-07-29,29,7,2014,M,NA,462,612,NA,YOY,Frazier
SC_148-14,NA,SLH11,Scalloped,BB,USA,33.00949,-79.48533,2014-07-29,29,7,2014,M,NA,442,583,NA,YOY,Frazier
SC_162-14,NA,SLH11,Scalloped,BB,USA,33.00949,-79.48533,2014-07-29,29,7,2014,M,NA,415,555,NA,YOY,Frazier
SC_260-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-05-09,9,5,2016,M,NA,360,477,NA,YOY,Frazier
SC_276-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-05-24,24,5,2016,F,NA,398,522,NA,YOY,Frazier
SC_279-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-05-24,24,5,2016,F,NA,376,494,NA,YOY,Frazier
SC_288-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-06-08,8,6,2016,M,NA,411,550,NA,YOY,Frazier
SC_292-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-06-08,8,6,2016,F,NA,387,515,NA,YOY,Frazier
SC_293-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-06-08,8,6,2016,M,NA,335,442,NA,YOY,Frazier
SC_299-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-06-08,8,6,2016,M,NA,374,495,NA,YOY,Frazier
SC_304-16,NA,SLH06,Scalloped,BB,USA,33.0095,-79.48533,2016-07-19,19,7,2016,M,NA,468,620,NA,YOY,Frazier
SC_306-16,NA,SLH06,Scalloped,BB,USA,33.03511,-79.54564,2016-07-22,22,7,2016,M,NA,405,539,NA,YOY,Frazier
SC_308-16,NA,SLH06,Scalloped,BB,USA,33.03511,-79.54564,2016-07-28,28,7,2016,M,420,477,636,NA,YOY,Frazier
SC_310-16,NA,SLH07,Scalloped,BB,USA,33.03511,-79.54564,2016-07-28,28,7,2016,M,378,418,562,NA,YOY,Frazier
SC_315-16,NA,SLH07,Scalloped,BB,USA,33.0095,-79.48533,2016-08-18,18,8,2016,M,424,471,627,NA,YOY,Frazier
SC_329-17,NA,SLH07,Scalloped,BB,USA,33.0095,-79.48533,2017-05-11,11,5,2017,F,310,345,462,NA,YOY,Frazier
SC_331-17,NA,SLH07,Scalloped,BB,USA,33.0095,-79.48533,2017-05-11,11,5,2017,M,350,393,524,NA,YOY,Frazier
SC_346-17,NA,SLH12,Scalloped,BB,USA,32.98116,-79.51725,2017-05-26,26,5,2017,M,NA,385,515,NA,YOY,Frazier
SC_377-17,NA,SLH12,Scalloped,BB,USA,32.9954,-79.48268,2017-06-22,22,6,2017,F,NA,332,427,NA,YOY,Frazier
SC_380-17,NA,SLH09,Scalloped,BB,USA,33.0095,-79.48533,2017-06-22,22,6,2017,M,309,347,462,NA,YOY,Frazier
SC_385-17,NA,SLH09,Scalloped,BB,USA,32.94155,-79.5438,2017-07-21,21,7,2017,M,412,462,612,NA,YOY,Frazier
SC_386-17,NA,SLH09,Scalloped,BB,USA,33.01003,-79.48662,2017-07-26,26,7,2017,F,312,352,468,NA,YOY,Frazier
SC_397-17,NA,SLH09,Scalloped,BB,USA,33.0095,-79.48533,2017-08-09,9,8,2017,M,420,464,613,NA,YOY,Frazier
SC_412-17,NA,SLH09,Scalloped,BB,USA,33.0095,-79.48533,2017-08-09,9,8,2017,M,481,535,707,NA,SM_JUV,Frazier
SC_415-17,NA,SLH09,Scalloped,BB,USA,33.0095,-79.48533,2017-08-09,9,8,2017,M,NA,428,574,NA,YOY,Frazier
SC_417-17,NA,SLH10,Scalloped,BB,USA,33.0095,-79.48533,2017-08-09,9,8,2017,F,416,464,620,NA,YOY,Frazier
SC_418-17,NA,SLH10,Scalloped,BB,USA,33.0095,-79.48533,2017-08-09,9,8,2017,F,431,480,637,NA,YOY,Frazier
SC_423-17,NA,SLH10,Scalloped,BB,USA,33.0095,-79.48533,2017-08-22,22,8,2017,F,447,496,658,NA,SM_JUV,Frazier
SC_426-17,NA,SLH10,Scalloped,BB,USA,33.0095,-79.48533,2017-08-22,22,8,2017,F,474,525,694,NA,SM_JUV,Frazier
SC_434-17,NA,SLH10,Scalloped,BB,USA,33.0095,-79.48533,2017-08-22,22,8,2017,M,444,493,655,NA,YOY,Frazier
SC_437-17,NA,SLH10,Scalloped,BB,USA,33.0095,-79.48533,2017-08-22,22,8,2017,M,426,475,622,NA,YOY,Frazier
SC_441-17,NA,SLH10,Scalloped,BB,USA,33.0095,-79.48533,2017-08-22,22,8,2017,F,340,499,657,NA,YOY,Frazier
SC_467-18,NA,SLH11,Scalloped,BB,USA,33.0095,-79.48533,2018-05-31,31,5,2018,M,320,355,364,NA,YOY,Frazier
SC_470-18_rep,rep,SLH13,Scalloped,BB,USA,33.0095,-79.48533,2018-06-18,18,6,2018,M,306,343,461,NA,YOY,Frazier
SC_475-18,NA,SLH11,Scalloped,BB,USA,33.0095,-79.48533,2018-06-18,18,6,2018,F,350,390,518,NA,YOY,Frazier
SC_477-18,NA,SLH11,Scalloped,BB,USA,33.0095,-79.48533,2018-06-18,18,6,2018,M,359,400,532,NA,YOY,Frazier
SC_479-18,NA,SLH11,Scalloped,BB,USA,33.0095,-79.48533,2018-06-18,18,6,2018,M,380,382,505,NA,YOY,Frazier
SC_480-18,NA,SLH12,Scalloped,BB,USA,33.0095,-79.48533,2018-06-18,18,6,2018,F,302,340,455,NA,YOY,Frazier
